Item,Amount,Cat,Month,Who
Intro+to+GCC,19,books,10,bob
C+Programming,61,books,10,bob
Cakes+around+town,145,supplies,2,jane
HDMI+Adaptor,20,equipment,12,bob
Catering,60,supplies,8,jane
decking,8,equipment,8,jane
Catering,25,supplies,8,jane
Catering,20,supplies,8,jane
Catering,70,supplies,8,jane
Deliver,3,stationery,7,jane
Catering,11,supplies,7,jane
Delivery,11,stationery,8,jane
Catering,10,supplies,8,jane
Catering,13,supplies,8,jane
Styrofoam,47,supplies,8,jane
Catering,72,supplies,8,jane
Catering,42,supplies,8,jane
Catering,72,supplies,8,jane
Catering,36,supplies,7,jane
Catering,46,supplies,7,jane
Decking,50,supplies,7,jane
Catering,68,supplies,7,jane
Red+Dot,80,supplies,7,jane
Catering,5,supplies,7,jane
Catering,39,supplies,7,jane
Catering,67,supplies,7,jane
Catering,41,supplies,7,jane
Catering,83,supplies,7,jane
Catering,110,supplies,7,jane
Catering,165,supplies,7,jane
Catering,240,supplies,7,jane
Catering,140,supplies,7,jane
Catering,189,supplies,7,jane
Shire,62,licences,7,jane
Catering,143,supplies,1,jane
Catering,268,supplies,2,jane
Catering,188,supplies,6,jane
Cake+Stand,24,equipment,5,jane
Catering,24,supplies,4,jane
Pens,5,stationery,1,bob
Catering,4,supplies,3,jane
Catering,3,supplies,3,jane
Catering,14,supplies,3,jane
Catering,82,supplies,3,jane
Catering,5,supplies,1,jane
Catering,232,supplies,5,jane
Cake+Stand,16,supplies,3,jane
Delivery,15,stationery,11,jane
Catering,6,supplies,4,jane
Catering,7,supplies,6,jane
Delivery,7,stationery,6,jane
Catering,35,supplies,5,jane
Bulbs,10,equipment,5,jane
Bulbs,10,equipment,5,bob
Catering,10,supplies,2,jane
Catering,163,supplies,2,jane
Catering,131,supplies,1,jane
Card+Ribbon,19,stationery,2,jane
Bluetooth+handsfree,17,equipment,7,bob
Batteries,11,supplies,9,bob
usb+32gb,25,equipment,9,bob
Catering,16,supplies,4,jane
Technical+Mag,15,books,2,bob
Decking,16,supplies,7,jane
Catering,15,supplies,3,jane
Catering,6,supplies,1,jane
Catering,130,supplies,2,jane
Delivery,33,stationery,2,jane
Delivery,15,stationery,1,jane
Batteries,8,stationery,12,bob
Catering,24,supplies,2,jane
Catering,100,supplies,3,jane
Catering,4,supplies,7,jane
Styrofoam,65,supplies,4,jane
Catering,47,supplies,10,jane
Catering,205,supplies,10,jane
Catering,18,supplies,10,jane
Catering,27,supplies,10,jane
Catering,176,supplies,10,jane
Catering,52,equipment,10,jane
Catering,146,supplies,10,jane
Styrofoam,64,supplies,10,jane
Catering,21,supplies,10,jane
Delivery,7,supplies,10,jane
Catering,70,supplies,10,jane
Cake+Stand,16,supplies,10,jane
Catering,70,equipment,10,jane
Catering,41,supplies,10,jane
Catering,80,supplies,10,jane
Catering,31,supplies,10,jane
Delivery,9,supplies,10,jane
Catering,12,supplies,10,jane
Catering,60,supplies,10,jane
Catering,176,supplies,9,jane
Catering,40,supplies,9,jane
Catering,197,supplies,9,jane
Catering,11,supplies,9,jane
Catering,15,supplies,9,jane
Catering,9,supplies,9,jane
Catering,13,supplies,9,jane
Styrofoam,64,supplies,9,jane
Catering,90,supplies,9,jane
Catering,20,supplies,9,jane
Catering,5,supplies,9,jane
Tape,5.4,stationery,9,jane
